,current_ratio,div_yield,enterprise_to_ebitda,enterprise_to_sales,eps,forward_eps,forward_pe,industry,market_cap,peg_ratio,quick_ratio,sector,ticker,trailing_pe,
0,2.429,,-54.259,40.987,,,,Software—Application,11812523008,,2.289,Technology,ASAN,,#DIV/0!
1,6.779,,-536.026,66.18,-0.72,-0.16,-744.19,Software—Infrastructure,36986236928,,6.602,Technology,NET,,-0.777777778
2,1.892,,39.597,6.227,-0.61,1.52,20.75,Software—Infrastructure,12330214400,1.16,1.83,Technology,DBX,,-3.491803279
3,1.315,,47.849,19.051,11.54,14.03,44.09,Software—Infrastructure,2.95657E+11,2.28,1.179,Technology,ADBE,53.61,0.215771231
4,0.76,,-50.696,5.909,-0.91,0.99,24.76,Software—Infrastructure,3989958144,3.47,0.662,Technology,BOX,,-2.087912088
5,0.823,,-38.968,11.294,-2.6,-0.97,-91.49,Software—Application,2811653376,,0.685,Technology,DOMO,,-0.626923077
6,0.783,,477.847,33.943,-3.49,1.45,227,Software—Application,82306408448,8.82,0.688,Technology,TEAM,,-1.415472779
7,1.282,,44.338,6.422,0.42,1.19,49.71,Software—Infrastructure,3808236800,2.61,1.178,Technology,MIME,142.19,1.833333333
8,2.972,,-201.043,32.464,-1.48,-0.65,-136.42,Software—Application,4869268480,,2.718,Technology,SPT,,-0.560810811
9,2.247,,-161.353,11.889,-1,0.04,3187.5,Software—Application,6365641728,,2.137,Technology,WK,,-1.04
10,1.012,,-810.493,35.834,-1.31,1.84,158.42,Software—Application,56712101888,2.49,0.953,Technology,DOCU,,-2.404580153
11,1.879,,-306.634,74.356,-1.7,-0.32,-646.11,Software—Application,19309697024,-41.21,0.89,Technology,BILL,,-0.811764706
12,2.837,,-911.155,27.937,-1.99,2.37,244.14,Software—Application,27036481536,9.51,2.674,Technology,HUBS,,-2.190954774
13,2.269,,-29.855,5.956,-3.15,-0.04,-1706.75,Software—Infrastructure,4355229696,-4.93,2.143,Technology,NEWR,,-0.987301587
14,2.074,,-1012.955,56.251,-0.72,0.7,365.56,Software—Infrastructure,57783005184,8.25,1.929,Technology,CRWD,,-1.972222222
15,3.516,,102.162,29.237,2.53,4.04,83.14,Health Information Services,51361673216,4.69,3.473,Healthcare,VEEV,132.76,0.596837945
16,4.798,,822.388,26.622,-0.72,1.18,170.03,Software—Infrastructure,13451507712,7.43,4.459,Technology,FIVN,,-2.638888889
17,5.445,,-2102.463,47.856,-0.12,-0.06,-1901.83,Software—Application,35189583872,,5.305,Technology,DDOG,,-0.5
18,17.134,,425.542,52.419,12.79,4.99,303.07,Software—Application,1.86522E+11,9.55,16.346,Technology,SHOP,118.26,-0.609851446
19,3.019,,-184.524,48.956,-1.72,0.56,433.93,Software—Infrastructure,33287843840,6.28,2.897,Technology,ZS,,-1.325581395
20,1.235,,174.741,22.17,0.76,7.08,81.99,Software—Application,1.1462E+11,4.91,1.119,Technology,NOW,763.82,8.315789474
21,1.562,,-31.661,5.733,-0.62,0.02,853,Software—Infrastructure,2064259968,,1.421,Technology,ZUO,,-1.032258065
22,1.099,,110.264,16.397,1.19,2.06,99.05,Software—Application,11094347776,5.12,0.105,Technology,PCTY,171.75,0.731092437
23,1.082,,94.056,23.791,2.49,5.49,73.05,Software—Application,24136060928,3.57,0.097,Technology,PAYC,161.06,1.204819277
24,1.859,,26.421,9.426,2.24,2.93,35.74,Software—Infrastructure,4104567808,5,1.784,Technology,QLYS,46.75,0.308035714
25,1.334,,61.911,9.629,4.38,4.15,57.91,Software—Application,2.2164E+11,6.12,1.188,Technology,CRM,54.87,-0.052511416
26,1.165,,-49.827,8.259,,,,Software—Application,3024235008,,1.091,Technology,MNTV,,#DIV/0!
27,1.293,,67.031,14.582,4.39,5.87,46.24,Credit Services,3.18833E+11,2.44,0.334,Financial Services,PYPL,61.85,0.337129841
28,1.357,,-576.525,9.552,-0.27,0.38,116.64,Software—Infrastructure,4680321024,16.3,1.153,Technology,TENB,,-2.407407407
29,2.198,,-277.785,21.554,-0.61,0.06,2753.83,Software—Application,14210390016,10.27,1.984,Technology,AVLR,,-1.098360656
30,5.433,,-109.349,98.293,-3.23,-0.52,-545.39,Software—Application,83974701056,,5.273,Technology,SNOW,,-0.839009288
31,6.119,,-116.559,25.933,,,,Software—Application,4711934464,,5.836,Technology,BIGC,,#DIV/0!
32,1.416,,-115.487,21.303,-1.38,-0.48,-302.33,Software—Application,13026667520,-94.06,1.252,Technology,ESTC,,-0.652173913
33,3.495,,108.005,32.066,2.9,4.68,80.24,Software—Application,1.10645E+11,4.39,3.321,Technology,ZM,129.49,0.613793103
34,1.676,,468.17,8.267,0.71,2.1,129.25,Software—Infrastructure,1.23596E+11,3.02,0.965,Technology,SQ,379.61,1.957746479
35,12.19,,-167.122,32.146,-3.92,0.14,2611.07,Internet Content & Information,61838262272,-122.16,11.932,Communication Services,TWLO,,-1.035714286
36,3.315,,-112.633,16.693,-2.56,0.03,4680,Software—Application,5358014976,-1.61,3.16,Technology,EVBG,,-1.01171875
37,1.783,,-76.752,21.052,-1.02,-0.26,-275.81,Software—Application,8971781120,,1.726,Technology,SMAR,,-0.745098039
38,5.106,,-2546.681,17.121,-1.28,0.68,168.07,Software—Infrastructure,6634123264,24.65,5.022,Technology,BL,,-1.53125
39,3.763,,-154.654,34.618,-2.46,-0.73,-330.07,Software—Infrastructure,36877152256,12739,3.645,Technology,OKTA,,-0.703252033
40,0.928,,358.868,13.005,-0.71,3.52,66.36,Software—Application,57694261248,5.46,0.865,Technology,WDAY,,-5.957746479
41,1.756,,-72.558,15.319,-4.46,-0.38,-774.16,Software—Infrastructure,16593899520,297.22,1.646,Technology,WIX,,-0.914798206
42,2.317,,-52.714,3.492,-2.9,-0.02,-2140.5,Education & Training Services,3185261056,-4.59,2.041,Consumer Defensive,TWOU,,-0.993103448
43,1.746,,-168.545,16.141,-1.93,1.06,121.31,Software—Application,15257202688,7.42,1.596,Technology,ZEN,,-1.549222798
44,4.216,,339.95,15.714,4.39,0.57,245.37,Software—Application,4825491456,21.65,3.732,Technology,APPF,31.87,-0.870159453
45,3.822,,-142.64,25.626,,,,Software—Application,5977709568,-18.22,3.702,Technology,NCNO,,#DIV/0!
46,3.75,,-56.161,15.694,-0.99,-0.18,-230.39,Software—Application,3468629760,-3.21,3.598,Technology,PD,,-0.818181818
47,1.98,,-47.051,10.105,-1.56,-0.03,-1122.5,Software—Application,5340517888,-1.41,1.804,Technology,MDLA,,-0.980769231
48,4.022,,-140.708,14.134,-2.4,0.51,192.25,Software—Application,5520734720,11.79,3.687,Technology,QTWO,,-1.2125
49,1.26,,-52.325,16.315,-1.17,-0.21,-268.48,Software—Infrastructure,8159990272,,1.097,Technology,PLAN,,-0.820512821
50,4.821,,-205.801,22.773,,,,Software—Application,4083891712,-76.75,4.692,Technology,FROG,,#DIV/0!
51,1.494,,-23.103,4.648,-0.68,-0.02,-635,Software—Infrastructure,1603298816,-17.61,1.301,Technology,YEXT,,-0.970588235
52,2.114,,-735.324,23.375,-0.94,1.56,172.13,Software—Application,24401188864,9.2,1.862,Technology,RNG,,-2.659574468
53,11.877,,-67.329,20.894,-1.24,-0.25,-184.8,Software—Application,5345339904,-5.51,11.689,Technology,FSLY,,-0.798387097
54,0.769,,-172.287,33.542,-2.63,0.61,356.59,Software—Application,15966016512,-86.74,0.712,Technology,COUP,,-1.231939163
55,2.486,,-25.158,9.229,,,,Software—Infrastructure,2216139520,,2.308,Technology,SUMO,,#DIV/0!
56,8.395,,-271.734,28.561,,,,Software—Application,3593171200,2.29,8.317,Technology,API,,#DIV/0!
