,current_ratio,div_yield,enterprise_to_ebitda,enterprise_to_sales,eps,forward_eps,forward_pe,industry,market_cap,peg_ratio,quick_ratio,sector,ticker,trailing_pe,,
0,1.338,,-88.085,10.353,-1.94,0.27,426.54,Software—Application,6344647168,167.09,1.202,Technology,RPD,,-8.185185185,1
1,6.779,,-536.026,66.18,-0.72,-0.16,-747.94,Software—Infrastructure,37172609024,,6.602,Technology,NET,,3.5,1
2,1.601,,8.608,1.182,-0.46,0.31,20.15,Communication Equipment,35517435904,0.88,1.325,Technology,NOK,,-2.483870968,1
3,1.911,0.0029,63.574,14.275,2.49,3.34,16.78,Software—Application,14628647936,,1.764,Technology,DASTY,22.47,-0.254491018,1
4,2.3,0.0146,15.953,7.073,4.55,5.12,17.49,Software—Infrastructure,2.49968E+11,1.52,2.184,Technology,ORCL,19.68,-0.111328125,1
5,3.104,,25.208,8.075,75.04,95.21,28.55,Internet Content & Information,1.78732E+12,1.27,2.95,Communication Services,GOOG,36.23,-0.211847495,1
6,4.337,,581.377,9.683,-0.15,0.59,241.72,Software—Infrastructure,5574606848,-12.69,4.252,Technology,CYBR,,-1.254237288,1
7,0.481,,84.2,16.327,5.84,6.87,47.55,Software—Application,71865049088,1.51,0.399,Technology,ADSK,55.97,-0.14992722,1
8,2.513,,44.963,8.692,2.38,2.7,41.43,Semiconductors,1.359E+11,1.22,1.851,Technology,AMD,46.96,-0.118518519,1
9,1.309,,0.514,-0.109,-0.17,,,Computer Hardware,1306180480,,0.762,Technology,CAN,,#DIV/0!,1
10,2.274,0.0017,-1.379,-0.316,0.26,0.3,28.4,Information Technology Services,46517669888,2.76,2.136,Technology,WIT,33.15,-0.133333333,1
11,1.377,,-15956.428,9.204,-4.56,7.12,56.07,Software—Infrastructure,38881370112,2.4,1.245,Technology,PANW,,-1.640449438,1
12,1.964,0.0045,49.352,15.892,7.89,10.79,48.91,Software—Application,1.44218E+11,2.82,1.723,Technology,INTU,66.91,-0.268767377,1
13,1.703,,40.017,12.411,2.34,3.35,44.6,Software—Application,41574178816,3.32,1.437,Technology,CDNS,63.85,-0.301492537,1
14,1.142,0.0066,23.049,7.07,4.45,5.35,27.53,Consumer Electronics,2.45783E+12,1.45,0.967,Technology,AAPL,33.11,-0.168224299,1
15,1.315,,47.849,19.051,11.54,14.03,44.15,Software—Infrastructure,2.96078E+11,2.28,1.179,Technology,ADBE,53.68,-0.177476835,1
16,1.263,0.044,5.591,0.347,4.78,4.99,11.84,Computer Hardware,26684715008,,0.876,Technology,4915.TW,12.37,-0.042084168,1
17,2.294,0.0081,27.091,12.799,7.34,8.36,34.29,Software—Infrastructure,2.15916E+12,1.95,2.096,Technology,MSFT,39.07,-0.122009569,1
18,2.178,,-58.389,8.403,-0.92,-0.65,-56.18,Building Products & Equipment,1035166720,,1.654,Industrials,ASPN,,0.415384615,1
19,2.662,,48.331,16.951,5.26,7.86,47.17,Software—Application,32308840448,4.66,2.529,Technology,ANSS,70.52,-0.330788804,1
20,3.918,0.0029,50.25,16.404,1.27,1.82,49.06,Scientific & Technical Instruments,15769328640,3.66,3.249,Technology,CGNX,70.31,-0.302197802,1
21,2.135,0.0104,7.371,0.674,961.27,97.61,32.99,Semiconductors,69539766272,,1.867,Technology,6875.T,3.35,8.848068845,0
22,1.892,,39.597,6.227,-0.61,1.52,20.74,Software—Infrastructure,12324352000,1.16,1.83,Technology,DBX,,-1.401315789,1
23,1.052,,32.918,4.49,52.56,72.27,46.36,Internet Retail,1.68959E+12,1.61,0.843,Consumer Cyclical,AMZN,63.74,-0.272727273,1
24,1.304,0.0111,13.351,4.338,4.12,4.52,15.05,Internet Retail,46353068032,1.18,0.933,Consumer Cyclical,EBAY,16.5,-0.088495575,1
25,1.527,0.026800001,14.545,4.543,2.42,3.4,16.5,Communication Equipment,2.36374E+11,2.78,1.357,Technology,CSCO,23.19,-0.288235294,1
26,1.351,0.0579,5.628,0.523,5.39,3.6,17.75,Computer Hardware,1.48475E+11,,1.055,Technology,2301.TW,11.85,0.497222222,0
27,1.192,,44.599,10.109,5.14,7.37,39.3,Software—Infrastructure,44196405248,2.7,1.04,Technology,SNPS,56.38,-0.302578019,1
28,1.48,0.001,35.697,10.785,,,,Internet Content & Information,6.37082E+13,,1.119,Communication Services,035420.KS,,#DIV/0!,0
29,1.274,0.0128,20.534,5.572,5.74,9.75,23,Communication Equipment,38048047104,1.69,1.026,Technology,MSI,39.05,-0.411282051,1
30,2.043,0.021,8.206,1.078,72,117,14.71,Specialty Industrial Machinery,4.59393E+11,,1.696,Industrials,6841.T,23.9,-0.384615385,1
31,6.08,,20.128,9.679,11.67,15.2,23.1,Internet Content & Information,9.9557E+11,0.97,5.858,Communication Services,FB,30.08,-0.232236842,1
32,1.554,0.0185,5.873,0.633,557.18,251.44,22.87,Information Technology Services,1.56683E+12,,1.289,Technology,6701.T,10.32,1.215956093,0
33,1.196,0.015700001,19.431,5.303,4.55,,,Software—Application,1.43791E+11,,1.111,Technology,SAP.DE,26.77,#DIV/0!,0
34,2.289,0.0224,13.011,0.276,1.61,3.62,11.47,Electronics & Computer Distribution,4130327808,1.8,1.278,Technology,AVT,25.85,-0.555248619,1
35,4.843,,79.725,12.778,-1.34,1.08,63.57,Internet Content & Information,54799400960,2.1,4.741,Communication Services,TWTR,,-2.240740741,1
36,2.486,,-25.158,9.229,,,,Software—Infrastructure,2215059456,,2.308,Technology,SUMO,,#DIV/0!,0
37,1.54,0.0159,15.406,4.845,0.56,3.42,15.15,Software—Application,14157121536,1.65,1.435,Technology,OTEX,92.54,-0.83625731,1
38,2.064,0.026700001,9.002,3.305,192.51,228.55,25.16,Software—Infrastructure,8.00596E+11,,1.98,Technology,4704.T,29.87,-0.157689783,1
39,2.213,0.0309,17.029,8.703,10.76,29.97,16.21,Semiconductors,1.9935E+11,1.98,1.856,Technology,AVGO,45.16,-0.640974308,1
40,8.434,,25.993,6.944,0.22,0.89,23.9,Software—Application,934195456,1.5,8.263,Technology,MITK,98.02,-0.752808989,1
41,1.575,,53.958,11.999,,,,Software—Application,3962495488,2.88,1.445,Technology,CRNC,,#DIV/0!,0
42,1.686,,10.344,2.867,25.42,11.06,49.28,Semiconductors,3.31639E+11,,1.402,Technology,3034.TW,21.44,1.298372514,0
43,4.821,,-205.801,22.773,,,,Software—Application,4091373312,-76.75,4.692,Technology,FROG,,#DIV/0!,0
44,1.617,0.0307,13.848,2.014,0.62,1.89,15.28,Communication Equipment,9466770432,1.89,1.277,Technology,JNPR,46.82,-0.671957672,1
45,3.335,,-116.237,38.07,-4.62,-0.91,-395.1,Software—Infrastructure,22342162432,,3.151,Technology,MDB,,4.076923077,1
46,1.334,,61.911,9.629,4.38,4.15,57.97,Software—Application,2.21885E+11,6.12,1.188,Technology,CRM,54.93,0.055421687,0
47,0.889,0.044699997,8.176,3.075,4.56,5.17,10.78,Telecom Services,2.30684E+11,3.81,0.647,Communication Services,VZ,12.21,-0.117988395,1
48,0.929,0.032899998,6.788,1.124,0.49,1.95,7.56,Communication Equipment,19245359104,0.74,0.634,Technology,HPE,29.89,-0.748717949,1
49,0.96,,29.351,0.38,-76.35,44.89,26.84,Internet Retail,1.81267E+12,,0.52,Consumer Cyclical,4755.T,,-2.700824237,1
50,1.453,0.0111,8.74,1.077,1012.63,620.93,30.41,Information Technology Services,3.75712E+12,,1.078,Technology,6702.T,18.64,0.630827952,0
51,1.777,0.0109,23.55,6.848,1.5,10.63,19.62,Semiconductors,57501523968,1.27,1.181,Technology,NXPI,138.83,-0.858889934,1
52,5.044,,47.256,7.882,,,,,3.45686E+11,,4.133,,098460.KQ,,#DIV/0!,0
53,0.717,0.0383,5.504,1.549,241.01,468.84,6.01,Telecom Services,1.02141E+13,,0.608,Communication Services,9432.T,11.7,-0.485944032,1
54,4.527,0.0008,70.948,25.692,8.46,17.24,11.41,Semiconductors,1.22513E+11,1.46,3.919,Technology,NVDA,23.24,-0.509280742,1
55,0.766,0.0738,8.206,2.321,-0.35,3.12,9.02,Telecom Services,2.01027E+11,7.04,0.337,Communication Services,T,,-1.112179487,1
56,3.378,0.0129,7.784,0.912,,,,Information Technology Services,1.43098E+13,,3.214,Technology,018260.KS,,#DIV/0!,0
57,2.159,,-30.541,10.125,-6.66,-0.5,-280.22,Software—Infrastructure,23285022720,2.17,1.889,Technology,SPLK,,12.32,1
58,1.628,,55.784,4.456,-0.66,3.05,25.04,Software—Application,3525949440,2.82,1.568,Technology,CVLT,,-1.216393443,1
59,0.887,0.0621,4.665,1.422,1.71,1.17,8.13,Telecom Services,25285289984,,0.765,Communication Services,ORA.PA,5.58,0.461538462,0
60,0.772,,11.313,1.197,5.14,8.82,11.12,Computer Hardware,75333468160,1.9,0.549,Technology,DELL,19.07,-0.41723356,1
61,1.257,0.072399996,6.488,0.11,2.57,2.02,10.67,Computer Hardware,93896155136,,0.959,Technology,2324.TW,8.39,0.272277228,0
62,0.931,0.0473,11.005,2.36,5.98,12.05,11.92,Information Technology Services,1.2835E+11,0.8,0.759,Technology,IBM,24.03,-0.50373444,1
63,1.178,,14.632,1.557,-0.79,3.43,12.85,Information Technology Services,5767454208,3.52,0.691,Technology,NCR,,-1.2303207,1
64,1.738,0.0257,14.085,2.707,3.23,5.1,15.97,Computer Hardware,18219380736,1.76,1.607,Technology,NTAP,25.22,-0.366666667,1
65,3.944,,15.955,3.317,3.62,5.16,15.39,Semiconductors,4568667136,1.88,2.84,Technology,CRUS,21.94,-0.298449612,1
66,2.302,0.0368,6.631,1.835,,,,Consumer Electronics,5.47649E+14,,1.882,Technology,005930.KS,,#DIV/0!,0
67,1.843,,-2.536,2.103,-6.46,-10.34,-4.01,Consumer Electronics,33932793856,,1.703,Technology,2498.TW,,-0.375241779,0
68,3.951,,23.493,4.187,4.07,8.85,16.93,Semiconductors,5272892416,1.63,3.587,Technology,SYNA,36.8,-0.540112994,1
69,1.895,0.0249,6.896,3.077,4.46,4.57,11.81,Semiconductors,2.17971E+11,2.34,1.226,Technology,INTC,12.11,-0.024070022,1
70,0.717,0.0275,6.918,0.618,2.78,3.58,8.23,Computer Hardware,35377106944,0.58,0.403,Technology,HPQ,10.58,-0.223463687,1
71,0.76,,-50.696,5.909,-0.91,0.99,24.79,Software—Infrastructure,3994614016,3.47,0.662,Technology,BOX,,-1.919191919,1
72,1.214,,20.719,2.998,-0.18,2.54,16.69,Software—Infrastructure,2754657792,1.52,0.665,Technology,VRNT,,-1.070866142,1
73,3.256,,-385.797,4.176,0.68,2.23,32.05,Scientific & Technical Instruments,1297480704,3.27,2.46,Technology,FARO,105.1,-0.695067265,1
74,0.884,,86.345,14.287,-12.31,6.71,92.37,Software—Application,6040644096,11.86,0.827,Technology,MSTR,,-2.834575261,1
75,,0.0221,,0.294,2.33,3.11,12.34,Banks—Diversified,3.28762E+11,0.53,,Financial Services,BAC,16.47,-0.250803859,1
76,2.278,,-25.045,6.02,-1.57,0.19,136.05,Software—Application,2840708352,-10.23,1.787,Technology,EGHT,,-9.263157895,1
77,1.321,0.0538,4.198,0.173,2.72,1.24,21.98,Computer Hardware,81780244480,,0.853,Technology,2353.TW,10.02,1.193548387,0
78,1.472,,10.213,1.721,-7.37,3.52,6.78,Software—Application,2001086592,0.87,1.198,Technology,AVYA,,-3.09375,1
79,0.72,0.0184,15.419,7.265,,,,Software—Infrastructure,14429031424,0.84,0.559,Technology,NLOK,,#DIV/0!,0
80,1.727,0.0278,8.661,2.094,2.67,3.43,12.64,Semiconductors,80380870656,,0.933,Technology,2337.TW,16.23,-0.221574344,1
81,2.576,,6.557,0.619,2.73,3.39,10.25,Communication Equipment,1059015488,0.22,1.892,Technology,NTGR,12.72,-0.194690265,1
82,1.16,0.078200005,6.631,0.19,2.84,1.99,13.77,Computer Hardware,79558918144,,0.732,Technology,3231.TW,9.66,0.427135678,0
83,1.155,,6.472,1.81,14.6,25.61,0.07,Telecom Services,17341257728,,0.879,Communication Services,BT-A.L,11.98,-0.429910191,1
84,1.439,,-28.018,9.292,-3.86,-0.65,-64.6,Software—Application,78410448896,-0.68,1.218,Technology,UBER,,4.938461538,1
85,0.926,0.0235,6.234,2.386,0.34,0.07,5.33,Telecom Services,8063028736,,0.9,Communication Services,TIT.MI,1.09,3.857142857,0
86,1.705,,3.243,0.581,8.44,11.91,16.4,Internet Retail,5.29806E+11,41.81,1.281,Consumer Cyclical,BABA,23.15,-0.291351805,1
87,2.58,0.0068,25.199,2.958,0.41,0.14,88.86,Information Technology Services,1530965888,,2.515,Technology,APX.AX,30.49,1.928571429,0
88,0.996,,107.072,0.951,-10.07,3.28,11.08,Internet Content & Information,1056814464,-3.4,0.949,Communication Services,GRPN,,-4.070121951,1
89,2.345,,92.56,10.572,-2.43,0.17,73.88,Software—Infrastructure,7111711232,,2.228,Technology,BB.TO,,-15.29411765,1
90,0.688,0.0129,26.866,5.472,3.28,6.88,14.98,Software—Application,12799134720,2.06,0.555,Technology,CTXS,31.4,-0.523255814,1
91,3.879,,-39.401,39.363,,,,Software—Infrastructure,41363570688,3.49,3.731,Technology,PLTR,,#DIV/0!,0
92,1.16,0.0028,4.618,1.644,2.84,2.7,21.09,Internet Content & Information,5.46769E+11,60.14,0.975,Communication Services,TCEHY,20.02,0.051851852,0
93,2.865,,-0.199,-0.064,21.48,11.41,14.32,Internet Content & Information,56769830912,58.31,2.565,Communication Services,BIDU,7.61,0.882559159,0
94,1.209,,14.442,1.984,-1.4,4.28,7.27,Communication Equipment,1316649600,0.81,0.473,Technology,POLY,,-1.327102804,1
