ticker,index_ticker,comment
MC.F,CAC,LVMH
FP.F,CAC,Total
OR.F,CAC,LOreal
SAN.F,CAC,Sanofi
AIR.F,CAC,Airbus
BNP.F,CAC,BNP Paribas
KER.F,CAC,Kering
RE.F,CAC,AXA
DG.F,CAC,Vinci
SAF.F,CAC,Safran
AI.F,CAC,Air Liquide
BN.F,CAC,Danone
SU.F,CAC,Schneider Electric
RMS.F,CAC,HERMES INTERNATIONAL
ACA.F,CAC,Credit Agricole
RI.F,CAC,Pernod Ricard
ORA.F,CAC,Orange
GLE.F,CAC,Societe Generale
ENGI.F,CAC,ENGIE
VIV.F,CAC,Vivendi
EI.F,CAC,Essilor
RNO.F,CAC,Renault
UG.F,CAC,Peugeot
SGO.F,CAC,Cie de Saint-Gobain
ML.F,CAC,Michelin
DSY.F,CAC,Dassault Systemes
LR.F,CAC,Legrand
UL.F,CAC,Unibail Rodamco
STM.F,CAC,Stmicroelectronics
EN.F,CAC,Bouygues
SW.F,CAC,Sodexo
CA.F,CAC,Carrefour
CAP.F,CAC,Cap Gemini
AC.F,CAC,Accor
FTI.F,CAC,TechnipFMC PLC
PUB.F,CAC,Publicis Groupe
MT.F,CAC,ArcelorMittal
ATO.F,CAC,Atos
VIE.F,CAC,Veolia
FR.F,CAC,Valeo
WLN.F,CAC,WorldLine SA
